sex,Dose,type_vax,week,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,2020-10-05,CV,0,0,0,0,0,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17
0,0,,2020-10-05,CV,0,0,0,0,0,0,0,104365.86,0,0,104365.86,0,0,104365.86,0,0,104365.86,0,0,104365.86
1,0,,2020-10-12,CV,0,0,0,0,0,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17
0,0,,2020-10-12,CV,0,0,0,0,0,0,0,104608.95,0,0,104608.95,0,0,104608.95,0,0,104608.95,0,0,104608.95
1,0,,2020-10-19,CV,0,0,0,0,0,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92
0,0,,2020-10-19,CV,0,0,0,0,0,0,0,104690.23,0,0,104690.23,0,0,104690.23,0,0,104690.23,0,0,104690.23
1,0,,2020-10-26,CV,0,0,0,0,0,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26
0,0,,2020-10-26,CV,0,0,0,0,0,0,0,105180.58,0,0,105180.58,0,0,105180.58,0,0,105180.58,0,0,105180.58
1,0,,2020-11-02,CV,0,0,0,0,0,0,0,120300.29,0,0,120300.29,0,0,120300.29,0,0,120300.29,0,0,120300.29
0,0,,2020-11-02,CV,0,0,0,0,0,0,0,105180.58,0,0,105180.58,0,0,105180.58,0,0,105180.58,0,0,105180.58
1,0,,2020-11-09,CV,0,0,0,0,0,0,0,120300.29,0,0,120300.29,0,0,120300.29,0,0,120300.29,0,0,120300.29
0,0,,2020-11-09,CV,0,0,0,0,0,0,0,105510.04,0,0,105510.04,0,0,105510.04,0,0,105510.04,0,0,105510.04
1,0,,2020-11-16,CV,0,0,0,0,0,0,0,120515.49,0,0,120515.49,0,0,120515.49,0,0,120515.49,0,0,120515.49
0,0,,2020-11-16,CV,0,0,0,0,0,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49
